"Name","birth_year","death_year","first_year","last_year","religion_id"
John Jun Jowett,NA,NA,1851,1851,1
Robert Jowett (2),NA,NA,1852,1862,1
John King,NA,NA,1860,1862,1
Samuel King,NA,NA,1860,1867,1
Thomas King,NA,NA,1838,1840,1
Alfred Kitching,NA,NA,1860,1866,1
C Knight,NA,NA,1839,1839,1
John Lee,NA,NA,1851,1865,1
x Leitch,NA,NA,1847,1849,1
Thomas Letchmore,NA,NA,1860,1860,1
Thomas x Jun Letchmore,NA,NA,1860,1860,1
Thomas Letchworth,NA,NA,1862,1867,1
Thomas Jun Letchworth,NA,NA,1864,1866,1
Thomas x Jun Letchworth,NA,NA,1862,1865,1
S Lloyd,NA,NA,1865,1865,1
Edward Lucas,NA,NA,1852,1867,1
Rebecca Lucas,NA,NA,1851,1867,1
Thomas Marriage,NA,NA,1861,1862,1
John Marsh,NA,NA,1860,1867,1
R Marsh,NA,NA,1860,1861,1
William Matthews,NA,NA,1862,1866,1
William Mattravers,NA,NA,1839,1840,1
D Miller,NA,NA,1853,1859,1
John Morrison,NA,NA,1839,1851,1
E Neave,NA,NA,1861,1861,1
Mary Overend,NA,NA,1851,1855,1
W J Palmer,NA,NA,1862,1866,1
J Pears,NA,NA,1839,1851,1
Edward Priestman (2),NA,NA,1866,1866,1
John Priestman,NA,NA,1852,1862,1
James Ransome,NA,NA,1839,1862,1
Robert Ransome,NA,NA,1839,1865,1
William Rathbone,NA,NA,1839,1867,1
J Jun Read,NA,NA,1839,1840,1
Edward Richardson,NA,NA,1839,1861,1
Henry Richardson,NA,NA,1860,1867,1
W Richardson,NA,NA,1860,1861,1
R M Rickman,NA,NA,1862,1862,1
S Rickman,NA,NA,1838,1838,1
J Rooke,NA,NA,1860,1860,1
Alfred Rosling,NA,NA,1861,1866,1
John S Rowntree,NA,NA,1866,1866,1
Joseph Rowntree,NA,NA,1851,1855,1
Samuel Rundall,NA,NA,1839,1839,1
Henry Russell,NA,NA,1851,1853,1
Joseph Sams,NA,NA,1838,1855,1
J A Sanders,NA,NA,1861,1861,1
Mary Sansom,NA,NA,1855,1855,1
Micheal Scatterthwaite,NA,NA,1861,1861,1
S Scatterthwaite,NA,NA,1861,1862,1
Benjamin Seebohm,NA,NA,1865,1866,1
William Seebohm,NA,NA,1839,1861,1
Charles Sessions,NA,NA,1859,1866,1
Robert Simpson,NA,NA,1860,1867,1
Alfred Smith,NA,NA,1862,1862,1
Edward Smith,NA,NA,1862,1865,1
Richard Smith,NA,NA,1857,1867,1
Ann Snowden,NA,NA,1865,1867,1
C Southall,NA,NA,1861,1861,1
William Southall,NA,NA,1862,1866,1
William Sparkes,NA,NA,1861,1867,1
Joseph F Spence,NA,NA,1854,1867,1
L Squire,NA,NA,1839,1840,1
Mary Steevens,NA,NA,1861,1861,1
Henry Sterry,NA,NA,1851,1867,1
Richard Sterry,NA,NA,1851,1865,1
John Stevens,NA,NA,1839,1840,1
Joseph Sturge (Mrs),NA,NA,1838,1866,1
Sarah Styles,NA,NA,1866,1866,1
George N Tatham,NA,NA,1851,1852,1
Mary Ann Tatham,NA,NA,1851,1867,1
Edward Taylor,NA,NA,1861,1865,1
F Taylor,NA,NA,1861,1861,1
H Taylor,NA,NA,1861,1861,1
A Thistlethwaite,NA,NA,1860,1860,1
F J Thompson,NA,NA,1860,1867,1
Josiah Thompson,NA,NA,1861,1862,1
Thomas Thompson,NA,NA,1862,1862,1
W Thompson,NA,NA,1860,1862,1
George Treffry,NA,NA,1860,1867,1
Frederick Tuckett,NA,NA,1851,1854,1
W Tuke,NA,NA,1860,1860,1
Thomas Turner,NA,NA,1862,1867,1
James E Veale,NA,NA,1851,1867,1
Jonathan Walker,NA,NA,1860,1867,1
Ann Wallis,NA,NA,1851,1867,1
John Warner,NA,NA,1839,1840,1
Alfred Waterhouse,NA,NA,1861,1867,1
Mary Waterhouse,NA,NA,1852,1852,1
R Waterhouse,NA,NA,1861,1862,1
Thomas Wedmore,NA,NA,1861,1864,1
James Wells,NA,NA,1861,1861,1
Daniel Wheeler,NA,NA,1839,1839,1
W Whiting,NA,NA,1861,1861,1
John Jun Williams,NA,NA,1838,1838,1
W R Williams,NA,NA,1860,1860,1
Charles Wilson,NA,NA,1867,1867,1
George Wilson,NA,NA,1861,1867,1
Isaac Wilson,NA,NA,1838,1840,1
Joseph Wilson,NA,NA,1839,1839,1
Rebecca Wilson,NA,NA,1839,1861,1
H Wise,NA,NA,1839,1840,1
William Woods,NA,NA,1865,1865,1
Louisa Wright,NA,NA,1862,1867,1
Henry Knight,NA,NA,1852,1858,1
John Thomas Barry,NA,NA,1852,1853,1
Peter Bedford,NA,NA,1860,1860,1
John Bell,NA,NA,1838,1840,1
Thomas Christy,NA,NA,1839,1840,1
Josiah Forster,NA,NA,1838,1867,1
Robert Forster,NA,NA,1860,1867,1
William Forster,NA,NA,1838,1840,1
Robert Howard,NA,NA,1838,1840,1
John Kitching,NA,NA,1860,1866,1
Joseph Neatby,NA,NA,1851,1852,1
John Sanderson,NA,NA,1838,1840,1
Joseph Shewell,NA,NA,1840,1867,1
John M Albright,NA,NA,1860,1867,1
G W Alexander,NA,NA,1851,1867,1
Henry Alexander,NA,NA,1860,1866,1
R D Alexander,NA,NA,1839,1860,1
Thomas Allis,NA,NA,1856,1867,1
John D Appleton,NA,NA,1864,1867,1
Caroline Armistead,NA,NA,1861,1865,1
Joseph Armistead,NA,NA,1861,1864,1
Edward Ash,NA,NA,1839,1860,1
Alfred Backhouse,NA,NA,1860,1867,1
Edmund Backhouse,NA,NA,1861,1867,1
Edward Jun Backhouse,NA,NA,1851,1855,1
James Jun Backhouse,NA,NA,1863,1867,1
John Church Backhouse,NA,NA,1852,1852,1
J E Baker,NA,NA,1861,1867,1
James Baker,NA,NA,1861,1867,1
A P Balkwill,NA,NA,1862,1862,1
William Ball,NA,NA,1840,1866,1
Eliza Barclay,NA,NA,1851,1866,1
J Gurney Barclay,NA,NA,1852,1852,1
Jonathan Barrett,NA,NA,1860,1861,1
R Barrett,NA,NA,1853,1860,1
R C Barrow,NA,NA,1860,1864,1
S Barter,NA,NA,1861,1862,1
John D Bassett,NA,NA,1851,1867,1
John Baynes,NA,NA,1838,1838,1
John Beaumont,NA,NA,1839,1860,1
Rebecca Beaumont,NA,NA,1860,1866,1
William Beaumont,NA,NA,1860,1867,1
Samuel Beck,NA,NA,1861,1866,1
Deborah Beesley,NA,NA,1860,1867,1
Paul Bevan,NA,NA,1860,1867,1
Robert Bevan,NA,NA,1851,1854,1
Martha A Binyon,NA,NA,1866,1867,1
Thomas Binyon,NA,NA,1851,1860,1
S Birchall,NA,NA,1861,1862,1
Thomas Blain,NA,NA,1865,1867,1
J Blunsom,NA,NA,1861,1865,1
W Bott,NA,NA,1862,1862,1
Christopher Bowley,NA,NA,1838,1862,1
W C Bowley,NA,NA,1860,1862,1
Edwin Bracher,NA,NA,1861,1866,1
James Bracher,NA,NA,1861,1861,1
Lucy Bradshaw,NA,NA,1860,1861,1
G S Brady,NA,NA,1861,1861,1
Joseph B Braithwaite,NA,NA,1866,1867,1
S Braithwaite,NA,NA,1862,1862,1
Charles Brewin,NA,NA,1840,1840,1
Robert Brewin,NA,NA,1860,1867,1
Thomas Brewin,NA,NA,1860,1867,1
William Brewin,NA,NA,1860,1867,1
Francis Brown,NA,NA,1861,1867,1
Gopsill Brown,NA,NA,1860,1860,1
W W Brown,NA,NA,1861,1866,1
J F Burgess,NA,NA,1860,1861,1
