"Name","birth_year","death_year","first_year","last_year","religion_id"
x Thompson,NA,NA,1857,1857,NA
John Herschell,NA,NA,1839,1851,NA
George Abbott,NA,NA,1839,1851,NA
E Abdy,NA,NA,1839,1839,NA
William Abdy,NA,NA,1839,1840,NA
S J Abington,NA,NA,1859,1862,NA
x Adams,NA,NA,1839,1839,NA
Charles Adlard,NA,NA,1838,1839,NA
James Adlard,NA,NA,1838,1839,NA
x Agar,NA,NA,1861,1861,NA
C A Albright,NA,NA,1865,1865,NA
E A Albright,NA,NA,1864,1864,NA
John Alcard,NA,NA,1851,1856,NA
J Alexander,NA,NA,1862,1866,NA
Elizabeth Allen,NA,NA,1860,1867,NA
F Allen,NA,NA,1838,1838,NA
J Allen,NA,NA,1861,1861,NA
John Allen,NA,NA,1838,1857,NA
Richard Allen,NA,NA,1861,1867,NA
S Allen,NA,NA,1855,1863,NA
S Allen (2),NA,NA,1860,1867,NA
T Allen,NA,NA,1861,1861,NA
Denison H Allport,NA,NA,1849,1854,NA
A Ambrose,NA,NA,1862,1862,NA
G F Angas,NA,NA,1838,1840,NA
N D By G F Angas,NA,NA,1852,1855,NA
Henry Angus,NA,NA,1860,1860,NA
x Ap Forstell,NA,NA,1839,1851,NA
x Apelez,NA,NA,1838,1839,NA
Richard Ash,NA,NA,1851,1866,NA
Frederick Ashby,NA,NA,1860,1867,NA
F J Atkins,NA,NA,1838,1839,NA
E Backhouse,NA,NA,1855,1864,NA
Fanny Backhouse,NA,NA,1856,1856,NA
J Backhouse,NA,NA,1855,1862,NA
J E Backhouse,NA,NA,1857,1857,NA
S Backhouse,NA,NA,1854,1857,NA
E Baines,NA,NA,1838,1840,NA
Frederick Baines,NA,NA,1838,1866,NA
M T Baines,NA,NA,1838,1838,NA
Hannah Baker,NA,NA,1863,1867,NA
J G Baker,NA,NA,1864,1864,NA
Adrian Balbi,NA,NA,1839,1851,NA
J S Banbury,NA,NA,1863,1863,NA
Sa Bandeira,NA,NA,1839,1851,NA
John Banim,NA,NA,1839,1840,NA
Sax Bannister,NA,NA,1838,1840,NA
x Barclay,NA,NA,1853,1855,NA
C Baxter,NA,NA,1861,1861,NA
S Beale,NA,NA,1853,1853,NA
x Beaumont,NA,NA,1847,1849,NA
Esther Beecham,NA,NA,1855,1855,NA
A Bell,NA,NA,1851,1855,NA
Maldon Bell,NA,NA,1864,1864,NA
Mary Bell,NA,NA,1859,1867,NA
S E E Bell,NA,NA,1861,1861,NA
John Bellerby,NA,NA,1861,1861,NA
F J Bett,NA,NA,1856,1856,NA
x Bevan,NA,NA,1860,1860,NA
Samuel Blackburn,NA,NA,1838,1839,NA
W T Blair,NA,NA,1840,1840,NA
W Blott,NA,NA,1861,1861,NA
x Blumenbach,NA,NA,1839,1839,NA
x Boehmer,NA,NA,1839,1851,NA
D Bolton,NA,NA,1855,1855,NA
J Booth,NA,NA,1861,1861,NA
James Booth,NA,NA,1863,1863,NA
x Booth,NA,NA,1862,1862,NA
x Bott,NA,NA,1860,1860,NA
x Bousfield,NA,NA,1860,1860,NA
Benjamin Boyd,NA,NA,1847,1847,NA
J Bradley,NA,NA,1860,1860,NA
x Brady,NA,NA,1860,1860,NA
L Bridgland,NA,NA,1862,1862,NA
x Brightwell,NA,NA,1860,1860,NA
John Ivatt Briscoe,NA,NA,1839,1855,NA
x Brouwer,NA,NA,1839,1851,NA
D Brown,NA,NA,1862,1862,NA
Jeremiah Bryant,NA,NA,1839,1840,NA
J Buckland,NA,NA,1862,1862,NA
John Budge,NA,NA,1838,1840,NA
W F Budgett,NA,NA,1861,1861,NA
x Burder,NA,NA,1839,1840,NA
John Burgess,NA,NA,1840,1840,NA
x Burgess,NA,NA,1861,1862,NA
John Burnett,NA,NA,1839,1862,NA
Edmund Buxton,NA,NA,1839,1840,NA
x Buxton,NA,NA,1838,1838,NA
M Cabet,NA,NA,1839,1851,NA
John Candlish,NA,NA,1861,1861,NA
R Carthington,NA,NA,1860,1860,NA
James Cash,NA,NA,1860,1862,NA
M Cassin,NA,NA,1839,1851,NA
L A Chamerovzov,NA,NA,1849,1867,NA
M Chamisso,NA,NA,1839,1840,NA
x Channing,NA,NA,1839,1840,NA
R Chapman,NA,NA,1840,1840,NA
Eardley Childers,NA,NA,1839,1840,NA
George Christie,NA,NA,1838,1839,NA
Ann W Christy,NA,NA,1865,1867,NA
Alfred Spencer Churchill,NA,NA,1865,1867,NA
Charles Clark,NA,NA,1860,1866,NA
Thomas Clark,NA,NA,1860,1862,NA
W J Clark,NA,NA,1860,1860,NA
x Clark (2),NA,NA,1860,1863,NA
Ebenezer Clarke,NA,NA,1840,1840,NA
Joseph Clarke,NA,NA,1867,1867,NA
Thomas Clarkson,NA,NA,1839,1840,NA
John Clayton,NA,NA,1839,1840,NA
J W C Clothier,NA,NA,1863,1866,NA
R C Cobbold,NA,NA,1853,1854,NA
Robert K Cobbold,NA,NA,1851,1852,NA
Jane Cocks,NA,NA,1851,1852,NA
x Collett,NA,NA,1852,1852,NA
J B Cook,NA,NA,1866,1866,NA
P Cook,NA,NA,1862,1862,NA
George Cooke,NA,NA,1861,1867,NA
J B Cooke,NA,NA,1861,1862,NA
J Cooper,NA,NA,1852,1861,NA
x Corbett,NA,NA,1839,1840,NA
x Corder,NA,NA,1860,1860,NA
James Coxen,NA,NA,1861,1864,NA
Agnes Craig,NA,NA,1859,1867,NA
William Crawford,NA,NA,1839,1840,NA
Handel Crosham,NA,NA,1865,1865,NA
Ann Crowley,NA,NA,1867,1867,NA
E Crowley,NA,NA,1860,1860,NA
P Cudworth,NA,NA,1865,1865,NA
x Cuff,NA,NA,1860,1862,NA
x David,NA,NA,1839,1851,NA
x Davies,NA,NA,1860,1860,NA
James Davis,NA,NA,1864,1867,NA
M De Beaumont,NA,NA,1839,1851,NA
x De Gerando,NA,NA,1839,1840,NA
J Dennis,NA,NA,1861,1862,NA
Thomas Denton,NA,NA,1860,1860,NA
Augustus D'Este,NA,NA,1838,1851,NA
W R Deverell,NA,NA,1839,1840,NA
John Dinham,NA,NA,1862,1862,NA
Thomas Dinham,NA,NA,1860,1860,NA
Anthony Dinsdale,NA,NA,1861,1863,NA
D Dodshon,NA,NA,1861,1861,NA
J M Dorking,NA,NA,1863,1863,NA
x Doubleday,NA,NA,1862,1863,NA
James Douglas,NA,NA,1838,1855,NA
F C Dowley,NA,NA,1860,1860,NA
x Downing,NA,NA,1839,1840,NA
J E Drake,NA,NA,1839,1840,NA
P Du Ponceau,NA,NA,1839,1840,NA
Philip Durant,NA,NA,1838,1838,NA
x Edmonds,NA,NA,1860,1860,NA
x Edwards,NA,NA,1839,1840,NA
E & M Elliott,NA,NA,1852,1852,NA
Ebenezer Elliott,NA,NA,1839,1851,NA
Mary Elliott,NA,NA,1851,1867,NA
John Ellis,NA,NA,1850,1867,NA
W Enfield,NA,NA,1860,1860,NA
John Epps,NA,NA,1860,1867,NA
Don Flores Estrada,NA,NA,1839,1851,NA
William Evans,NA,NA,1839,1855,NA
x Evans,NA,NA,1860,1860,NA
Edward Everett,NA,NA,1839,1851,NA
John Fairbarn,NA,NA,1840,1852,NA
William Falconer,NA,NA,1861,1861,NA
Joshua Fardon,NA,NA,1867,1867,NA
J Farnworth,NA,NA,1862,1862,NA
M Felix,NA,NA,1839,1851,NA
Pinheiro Fereira,NA,NA,1847,1849,NA
Conrad Finzel,NA,NA,1860,1866,NA
Horman S Fisher,NA,NA,1858,1858,NA
A Fitzjames,NA,NA,1866,1866,NA
x Flashman,NA,NA,1862,1862,NA
Estrade Flores,NA,NA,1847,1849,NA
E Ford,NA,NA,1851,1851,NA
Thomas Ford,NA,NA,1863,1863,NA
A F Forsell,NA,NA,1847,1849,NA
James T Foster,NA,NA,1838,1851,NA
John Lister Foster,NA,NA,1847,1851,NA
John Foulger,NA,NA,1838,1840,NA
x Foville,NA,NA,1847,1849,NA
Mary Fox,NA,NA,1860,1867,NA
x Foxville,NA,NA,1851,1851,NA
J J Freeman,NA,NA,1838,1851,NA
A Friend,NA,NA,1862,1867,NA
R Fry,NA,NA,1862,1862,NA
Benson Fryer,NA,NA,1862,1862,NA
Forster Fryer,NA,NA,1862,1862,NA
x Fryer,NA,NA,1860,1864,NA
Charles Garrett,NA,NA,1865,1867,NA
John Garrett,NA,NA,1863,1864,NA
H E Garvey,NA,NA,1861,1861,NA
M de Gasparin,NA,NA,1839,1851,NA
Elizabeth F Gibson,NA,NA,1863,1865,NA
G J Gibson,NA,NA,1862,1862,NA
Joseph Gillett,NA,NA,1851,1855,NA
F Good,NA,NA,1865,1865,NA
Hannah Good,NA,NA,1861,1867,NA
John T Grace,NA,NA,1862,1867,NA
M Grand Pierre,NA,NA,1839,1851,NA
M Grangeret de la Grange,NA,NA,1839,1851,NA
Laggan Grant,NA,NA,1839,1839,NA
Fr Groth,NA,NA,1849,1849,NA
Aldin Grout,NA,NA,1839,1839,NA
R R Gurley,NA,NA,1839,1851,NA
Edward Gurney,NA,NA,1852,1853,NA
Charles Gutzlaff,NA,NA,1839,1851,NA
R K Habgood,NA,NA,1860,1862,NA
C Haddison,NA,NA,1865,1865,NA
x Haddison,NA,NA,1851,1863,NA
x Hagger,NA,NA,1860,1860,NA
John Halcro,NA,NA,1866,1867,NA
John Hall,NA,NA,1860,1866,NA
x Halliday,NA,NA,1839,1840,NA
William Alers Hankey,NA,NA,1838,1855,NA
Josiah Hannam,NA,NA,1865,1866,NA
x Hannington,NA,NA,1866,1867,NA
x Hannom,NA,NA,1861,1861,NA
John Harford (2),NA,NA,1852,1855,NA
x Harmer,NA,NA,1840,1840,NA
James Harnard,NA,NA,1863,1863,NA
E Harris,NA,NA,1851,1855,NA
Isabella Harris,NA,NA,1863,1867,NA
Jane Harris,NA,NA,1840,1862,NA
John Harris,NA,NA,1860,1862,NA
Sarah Harris,NA,NA,1840,1867,NA
x Harrison,NA,NA,1861,1866,NA
W B Harvey,NA,NA,1860,1860,NA
Montague Hawtrey,NA,NA,1839,1839,NA
x Hayden,NA,NA,1840,1840,NA
A Heaviside,NA,NA,1839,1840,NA
S Hedley,NA,NA,1860,1860,NA
Bev D Hewett,NA,NA,1862,1862,NA
W M Higgins,NA,NA,1838,1840,NA
R Hill,NA,NA,1839,1851,NA
C Hinchcliffe,NA,NA,1862,1862,NA
Charles Hindley,NA,NA,1838,1858,NA
D P Hock,NA,NA,1860,1860,NA
A Hodgson,NA,NA,1861,1861,NA
x Hogendorp,NA,NA,1839,1840,NA
J Holen,NA,NA,1861,1861,NA
D Holmes,NA,NA,1857,1857,NA
x Hood,NA,NA,1861,1861,NA
Ann M Hopkins,NA,NA,1867,1867,NA
Sylvester Hovey,NA,NA,1839,1840,NA
x Humboldt,NA,NA,1839,1851,NA
x Humphrey,NA,NA,1862,1862,NA
Matthew Jun Hutchinson,NA,NA,1838,1855,NA
T Hutchinson,NA,NA,1856,1856,NA
Robert Ingam,NA,NA,1851,1852,NA
F Maitland Innes,NA,NA,1840,1840,NA
M Isambert,NA,NA,1839,1851,NA
Clement Jackson,NA,NA,1851,1861,NA
S J James,NA,NA,1860,1860,NA
John Jarold,NA,NA,1851,1867,NA
George Jarvis,NA,NA,1862,1867,NA
Joseph Jarvis,NA,NA,1860,1864,NA
R Jarvis,NA,NA,1860,1861,NA
x Jaubert,NA,NA,1839,1851,NA
S A Jeffries,NA,NA,1860,1860,NA
Samuel Jeffrys,NA,NA,1853,1855,NA
J Jefry,NA,NA,1862,1862,NA
N Jocelyn,NA,NA,1839,1840,NA
Joseph Johnson,NA,NA,1865,1865,NA
x Johnson,NA,NA,1839,1840,NA
Peter Jones,NA,NA,1839,1851,NA
Samuel Juke,NA,NA,1855,1857,NA
M A Julien,NA,NA,1839,1840,NA
x Julius,NA,NA,1839,1851,NA
Charles Jupe,NA,NA,1862,1866,NA
George T Kemp,NA,NA,1861,1867,NA
William Kennedy,NA,NA,1839,1851,NA
x Kerr,NA,NA,1839,1851,NA
x Kidd,NA,NA,1840,1861,NA
Henry Rochdale King,NA,NA,1851,1866,NA
J Knowles,NA,NA,1860,1860,NA
A J Larking,NA,NA,1866,1867,NA
H B Larking,NA,NA,1861,1861,NA
James Lawrence,NA,NA,1862,1862,NA
Buxton Lawrie,NA,NA,1849,1849,NA
Emma Letchworth,NA,NA,1865,1867,NA
x Letchworth,NA,NA,1867,1867,NA
Leone Levi,NA,NA,1865,1867,NA
Malcolm Lewin (2),NA,NA,1856,1867,NA
x Lichtenstein,NA,NA,1839,1840,NA
C Lilgevolch,NA,NA,1839,1851,NA
H L Lobeck,NA,NA,1839,1840,NA
A J Lorking,NA,NA,1864,1865,NA
x Lucas,NA,NA,1861,1862,NA
x Luden,NA,NA,1839,1851,NA
William Luner,NA,NA,1839,1840,NA
Robert Lush,NA,NA,1851,1853,NA
C Lushington,NA,NA,1838,1839,NA
S Lushington,NA,NA,1838,1840,NA
P Lyne,NA,NA,1838,1838,NA
G van der Maalen,NA,NA,1839,1840,NA
R A MacFie,NA,NA,1851,1864,NA
D P Mack,NA,NA,1856,1856,NA
Thomas MacNay,NA,NA,1863,1863,NA
x Maconochie,NA,NA,1839,1851,NA
G van der Maerlen,NA,NA,1851,1851,NA
P Maerlen,NA,NA,1847,1849,NA
Patrick Mair,NA,NA,1839,1840,NA
x Mallet,NA,NA,1839,1840,NA
Jules Malpet,NA,NA,1849,1851,NA
Jules Mampet,NA,NA,1847,1847,NA
W E Manser,NA,NA,1862,1862,NA
S Marsden,NA,NA,1839,1840,NA
x Marsden,NA,NA,1839,1840,NA
Martha E Marshall,NA,NA,1861,1867,NA
H Martin,NA,NA,1853,1854,NA
Peter Martin,NA,NA,1840,1840,NA
R Montgomery Martin,NA,NA,1839,1854,NA
W Martin,NA,NA,1853,1854,NA
x Martin,NA,NA,1852,1854,NA
M H Martindale,NA,NA,1861,1866,NA
Mary Martindale,NA,NA,1864,1867,NA
R A McFie,NA,NA,1861,1866,NA
x McLachlan,NA,NA,1861,1861,NA
x McNay,NA,NA,1861,1861,NA
W H Medhurst,NA,NA,1839,1851,NA
James Meek,NA,NA,1862,1867,NA
x Metcalf,NA,NA,1839,1840,NA
x Meyer,NA,NA,1839,1840,NA
Henry Miegoe,NA,NA,1840,1840,NA
E Mills,NA,NA,1855,1855,NA
D Mitchell,NA,NA,1839,1851,NA
x Mittermaier,NA,NA,1839,1851,NA
J Moffatt,NA,NA,1839,1840,NA
R Moffatt,NA,NA,1847,1851,NA
P Moire,NA,NA,1838,1840,NA
S G Montrou,NA,NA,1839,1840,NA
O Moore,NA,NA,1861,1861,NA
x Moorsom,NA,NA,1839,1840,NA
M Moraes Sarmento,NA,NA,1839,1840,NA
Henry Moreing,NA,NA,1839,1840,NA
x Morgan,NA,NA,1838,1860,NA
E Morris,NA,NA,1861,1861,NA
S G Morton,NA,NA,1847,1851,NA
Joseph Mosley,NA,NA,1860,1860,NA
Standish Motte,NA,NA,1840,1840,NA
C Mottley,NA,NA,1865,1866,NA
Joseph Mottley,NA,NA,1838,1840,NA
J Mounsey,NA,NA,1860,1862,NA
Edgar Musgrove,NA,NA,1839,1862,NA
W W Royston Nash,NA,NA,1838,1840,NA
J Natterier,NA,NA,1839,1851,NA
T Nicholls,NA,NA,1839,1862,NA
Daniel O'Connell,NA,NA,1839,1840,NA
John Olliver,NA,NA,1851,1851,NA
x Orchard,NA,NA,1862,1862,NA
x Orioli,NA,NA,1839,1851,NA
Oliver Ormerod,NA,NA,1861,1867,NA
J Horne Payne,NA,NA,1865,1867,NA
Z C Pearson,NA,NA,1860,1860,NA
Rachel Pease,NA,NA,1838,1838,NA
Richard Peck,NA,NA,1855,1860,NA
Brothers Peek,NA,NA,1839,1840,NA
Richard Peek,NA,NA,1839,1867,NA
J Pell,NA,NA,1860,1860,NA
x Philip,NA,NA,1838,1851,NA
x Phillips,NA,NA,1840,1840,NA
W Philpott,NA,NA,1862,1862,NA
Fererra Pinheiro,NA,NA,1839,1851,NA
T E Plint,NA,NA,1860,1861,NA
J F Polk,NA,NA,1839,1851,NA
T Pollard,NA,NA,1862,1862,NA
W Pollard,NA,NA,1860,1860,NA
x Pollard,NA,NA,1860,1860,NA
Margaret Pope,NA,NA,1851,1866,NA
Eliza Post,NA,NA,1862,1862,NA
x Post,NA,NA,1860,1860,NA
x Poulter,NA,NA,1862,1862,NA
Edward Priestman,NA,NA,1854,1867,NA
Elizabeth Priestman,NA,NA,1864,1867,NA
F R Priestman,NA,NA,1861,1862,NA
x Priestman,NA,NA,1861,1861,NA
Cornelieus Prior,NA,NA,1860,1862,NA
G Pritchard,NA,NA,1839,1851,NA
J E Pritchett,NA,NA,1861,1861,NA
Joseph R Procter,NA,NA,1861,1867,NA
J R Pumphrey,NA,NA,1861,1861,NA
Herman Quinius,NA,NA,1849,1849,NA
G Ralston,NA,NA,1854,1858,NA
W Ramsden,NA,NA,1861,1862,NA
John Rand,NA,NA,1861,1861,NA
Alfred Ransome,NA,NA,1860,1867,NA
Joshua Ransome,NA,NA,1851,1859,NA
W Ransome,NA,NA,1860,1860,NA
C Rathbone,NA,NA,1863,1863,NA
George Rawson,NA,NA,1860,1860,NA
James Read,NA,NA,1839,1840,NA
A Reid,NA,NA,1851,1855,NA
Mohammed Rheire,NA,NA,1839,1851,NA
x Riach,NA,NA,1860,1860,NA
Heinrich Richter,NA,NA,1839,1840,NA
x Rickman,NA,NA,1852,1852,NA
R Rickmer,NA,NA,1860,1860,NA
E Ridley,NA,NA,1861,1865,NA
x Ritchie,NA,NA,1847,1849,NA
Henry Robarts,NA,NA,1839,1855,NA
C B Robinson,NA,NA,1860,1860,NA
W Robson,NA,NA,1861,1862,NA
x Robson,NA,NA,1839,1840,NA
x Roger,NA,NA,1839,1851,NA
H Rolls,NA,NA,1860,1860,NA
T Roscoe,NA,NA,1838,1838,NA
R P Ruckman,NA,NA,1866,1866,NA
M Ruppel,NA,NA,1839,1851,NA
H C Rutherford,NA,NA,1839,1840,NA
J E Rutter,NA,NA,1861,1862,NA
Egerton Ryerson,NA,NA,1839,1851,NA
John Saunders,NA,NA,1839,1851,NA
S Saunders,NA,NA,1862,1862,NA
x Saunders,NA,NA,1860,1860,NA
x Schlosser,NA,NA,1839,1851,NA
Thomas Schofield,NA,NA,1861,1867,NA
x Scoon,NA,NA,1861,1861,NA
Samuel S Scriven,NA,NA,1860,1862,NA
Hannah Scurr,NA,NA,1856,1859,NA
E T Sewell,NA,NA,1861,1861,NA
x Sharples,NA,NA,1861,1861,NA
John S Shewell,NA,NA,1867,1867,NA
M Sismondi,NA,NA,1839,1840,NA
B Slack,NA,NA,1864,1864,NA
Ann Hopkins Smith,NA,NA,1838,1851,NA
Charles E Smith,NA,NA,1838,1867,NA
Culling Eardley Smith,NA,NA,1838,1862,NA
Ebenezer Smith,NA,NA,1838,1853,NA
Homerton Smith,NA,NA,1838,1840,NA
J P Smith,NA,NA,1839,1840,NA
P A Smith,NA,NA,1865,1866,NA
Pye Smith,NA,NA,1851,1851,NA
R Jun Smith,NA,NA,1853,1855,NA
x Smith,NA,NA,1838,1852,NA
W Somerville,NA,NA,1862,1863,NA
W Sommerville,NA,NA,1867,1867,NA
Sarah Southwell,NA,NA,1863,1863,NA
Julius Sperling,NA,NA,1840,1840,NA
N G Sperling,NA,NA,1851,1851,NA
x Sperling,NA,NA,1852,1852,NA
Osbourne Spurfield,NA,NA,1860,1860,NA
F Squire,NA,NA,1839,1840,NA
x Stafford,NA,NA,1860,1860,NA
George Stancliff,NA,NA,1857,1858,NA
Thomas Stark,NA,NA,1851,1858,NA
Trevor Steinglass,NA,NA,1839,1851,NA
x Steininger,NA,NA,1839,1851,NA
E Stephens,NA,NA,1851,1851,NA
J M Stephens,NA,NA,1860,1860,NA
x Stephens,NA,NA,1860,1860,NA
Deborah Sterry,NA,NA,1860,1866,NA
M Stevens,NA,NA,1862,1864,NA
x Stevens,NA,NA,1855,1861,NA
Mary Stevenson,NA,NA,1856,1856,NA
Andrew Stewart,NA,NA,1861,1865,NA
J J Stitt,NA,NA,1861,1861,NA
William Stokes,NA,NA,1863,1866,NA
John Stone,NA,NA,1855,1855,NA
x Stone,NA,NA,1839,1851,NA
x Stow,NA,NA,1839,1840,NA
Thomas Stronge,NA,NA,1860,1864,NA
x Stroud,NA,NA,1838,1840,NA
John James Stulz,NA,NA,1838,1838,NA
Charles Sturgeon,NA,NA,1839,1867,NA
x Sturges,NA,NA,1860,1860,NA
John James Sturtz,NA,NA,1839,1840,NA
J W Sully,NA,NA,1860,1862,NA
William Summerville,NA,NA,1865,1865,NA
Charles Sumner,NA,NA,1839,1851,NA
J H Sunman,NA,NA,1858,1858,NA
Arthur Tappan,NA,NA,1839,1840,NA
Thomas Taylor,NA,NA,1861,1861,NA
J B Teesdale,NA,NA,1861,1861,NA
Hull Terrell,NA,NA,1838,1840,NA
x Thatcher,NA,NA,1839,1840,NA
James Sanderson Thomas,NA,NA,1860,1867,NA
M Thomas,NA,NA,1860,1860,NA
Perronet Thompson,NA,NA,1862,1867,NA
H B Thorpe,NA,NA,1861,1861,NA
Jonathan Thorpe,NA,NA,1860,1866,NA
x Tiedeman,NA,NA,1839,1851,NA
M de Tocqueville,NA,NA,1839,1851,NA
Thomas Todd,NA,NA,1864,1867,NA
William McCullagh Torrens,NA,NA,1866,1867,NA
C S Tosswill,NA,NA,1838,1840,NA
J H Tredgold,NA,NA,1838,1840,NA
Henry Tuckett,NA,NA,1838,1840,NA
P E Tuckett,NA,NA,1857,1859,NA
J W Tuke,NA,NA,1860,1861,NA
x Tyler,NA,NA,1839,1840,NA
Jan Tzatzoe,NA,NA,1839,1851,NA
x Upcher,NA,NA,1851,1855,NA
x Vanderkamp,NA,NA,1839,1851,NA
M Villerme,NA,NA,1839,1851,NA
x Wainwright,NA,NA,1861,1861,NA
Joseph Waite,NA,NA,1864,1864,NA
Josiah Waites,NA,NA,1861,1862,NA
E Walker,NA,NA,1861,1861,NA
R Walker,NA,NA,1860,1860,NA
x Walker,NA,NA,1860,1860,NA
x Waring,NA,NA,1862,1862,NA
Harriett Warner,NA,NA,1862,1866,NA
Henrietta Warner,NA,NA,1862,1867,NA
M Warner,NA,NA,1865,1865,NA
C Washbourne,NA,NA,1860,1860,NA
John Washington,NA,NA,1839,1840,NA
x Weaver,NA,NA,1860,1860,NA
A Wells,NA,NA,1838,1840,NA
Frederick Wells,NA,NA,1862,1862,NA
Mary Wheeler,NA,NA,1852,1854,NA
J Whitby,NA,NA,1860,1862,NA
Anthony White,NA,NA,1851,1853,NA
x Whiting,NA,NA,1860,1860,NA
S Wilkin,NA,NA,1838,1840,NA
M Wilks,NA,NA,1839,1851,NA
John Williams,NA,NA,1839,1856,NA
H H Willis,NA,NA,1851,1853,NA
Frederick Wills,NA,NA,1864,1867,NA
H O Wills,NA,NA,1862,1862,NA
x Wills,NA,NA,1839,1839,NA
Joseph R Wilton,NA,NA,1847,1851,NA
R W Wingfield,NA,NA,1862,1862,NA
x Wiseman,NA,NA,1839,1840,NA
William Wolston,NA,NA,1864,1864,NA
Joseph Wontner,NA,NA,1840,1855,NA
Thomas Wontner,NA,NA,1838,1855,NA
Levi Wood,NA,NA,1860,1866,NA
Levi Wood (2),NA,NA,1862,1862,NA
S F Woolmer,NA,NA,1849,1854,NA
A B Wright,NA,NA,1840,1851,NA
Frances Wright,NA,NA,1861,1867,NA
P Wright,NA,NA,1839,1840,NA
W D D Wright,NA,NA,1847,1847,NA
x Wright (2),NA,NA,1860,1861,NA
x Wright,NA,NA,1839,1850,NA
W Wrigley,NA,NA,1861,1862,NA
James Yates,NA,NA,1853,1856,NA
John Young,NA,NA,1840,1840,NA
Thomas Zachary,NA,NA,1840,1867,NA
